fecha	objective	metric	first_metric_only	boost_from_average	feature_pre_filter	verbosity	max_depth	max_bin	num_iterations	force_row_wise	seed	learning_rate	lambda_l1	lambda_l2	min_gain_to_split	feature_fraction	min_data_in_leaf	num_leaves	envios	ganancia	iteracion
20240520 221103	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	628	TRUE	445679	0.019436121722204	0.44813674535685	4.02844843582926	0.0256198278826742	0.980657884382562	170	73	11454	60930000	59
20240520 221608	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	468	TRUE	445679	0.0312047728173872	2.3367283118658	9.76566095475637	0.00018150941577096	0.71615771440391	86	277	12418	61155000	60
20240520 221929	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	329	TRUE	445679	0.0448898087549288	2.41212392045785	8.80342252003014	0.00299101876919988	0.910288757385949	159	232	11314	61470000	61
20240520 222010	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	74	TRUE	445679	0.240234135329072	0.182393454630099	4.4828696466377	0.00397042916959968	0.700531734631752	2042	517	12834	59430000	62
20240520 222534	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	532	TRUE	445679	0.0127178970861377	0.111054063462278	6.31048651580671	0.090276302938648	0.5585532330685	18	61	11794	60510000	63
20240520 223350	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	701	TRUE	445679	0.0104322348113705	0.430103593375213	9.42257371435932	0.00174894840419059	0.86358531418734	60	371	13429	60285000	64
20240520 223412	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	46	TRUE	445679	0.193277470625598	0.00258234465389144	9.21452342046125	0.848694504391974	0.998469305291722	24	529	11225	58125000	65
20240520 223441	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	42	TRUE	445679	0.213217654248841	1.01260269326409	0.0334960348666892	0.690611629895854	0.555768241378975	1418	1017	12355	57375000	66
20240520 223629	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	138	TRUE	445679	0.0911551500482172	0.304127665052084	7.51031657310669	0.017679610829566	0.689995603256058	8	531	12324	6e+07	67
20240520 223931	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	703	TRUE	445679	0.0107124369069187	1.50493285317579	9.22673648890993	0.00064101728534571	0.983587128403253	6968	606	11515	57375000	68
20240520 224102	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	390	TRUE	445679	0.0731016401596218	0.61581656754568	9.9052012296193	0.0376682367953895	0.843231485492093	3592	39	11600	60720000	69
20240520 224131	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	56	TRUE	445679	0.202695250883262	0.233696610727007	8.95423070546466	0.000681772232281038	0.651529797336791	2301	811	10880	59760000	70
20240520 224217	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	141	TRUE	445679	0.10285636504138	0.986625470669706	0.759614039047077	0.0094504024754498	0.976907702525096	2687	303	11394	60750000	71
20240520 224248	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	117	TRUE	445679	0.220137155035948	1.47632509805756	5.6908526066641	0.0428298656284056	0.999371360711847	7472	413	11835	59175000	72
20240520 224711	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	734	TRUE	445679	0.0115648183560374	9.09996998143164	9.9826591779149	0.00945907059764381	0.696056122786852	197	122	11369	60345000	73
20240520 225405	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	2315	TRUE	445679	0.0105443234313609	2.48841822418262	9.97693031331035	0.215182419132602	0.715295196922182	309	20	12641	61320000	74
20240520 225445	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	87	TRUE	445679	0.142016191485077	0.930946758160131	1.57193737356844	0.0382106242071881	0.82980527030949	1388	940	10962	60960000	75
20240520 225553	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	273	TRUE	445679	0.0857581693425946	0.711401810918702	0.799341015316282	0.102295105627022	0.666681022090506	4577	994	11068	59685000	76
20240520 225630	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	75	TRUE	445679	0.188191831370567	2.3574224292194	0.259256802936848	0.0280811252112275	0.837909160570519	652	491	11451	59130000	77
20240520 225802	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	254	TRUE	445679	0.0597303842777995	1.44028561953033	6.91452809706892	0.0303688305550937	0.997710908990901	981	127	12506	60765000	78
20240520 230144	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1150	TRUE	445679	0.017905601538146	4.78360876598092	9.92050447931357	0.0959295348828878	0.66541076924875	21	21	14881	59160000	79
20240520 230217	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	56	TRUE	445679	0.126840351665158	0.671405171835799	7.92470250747647	0.00894223530830265	0.996235850782531	1650	462	11150	60630000	80
20240520 230312	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	153	TRUE	445679	0.135408322816677	0.970281070126547	3.38202868544226	0.000993208745433525	0.626646261477571	1500	1006	9549	60645000	81
20240520 230335	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	36	TRUE	445679	0.218010123538024	3.33459786274139	9.71920254041228	0.0233394610629695	0.647825077023917	1184	33	12217	59835000	82
20240520 230410	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	117	TRUE	445679	0.221230800643226	8.5968961774687	9.95027871613915	0.00402874649929041	0.99951779485068	3279	428	13023	59460000	83
20240520 230511	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	68	TRUE	445679	0.0652259800570806	0.0905987810067666	5.27445815893666	0.0359256882398915	0.810800030402968	310	355	11389	60165000	84
20240520 230548	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	127	TRUE	445679	0.12221882777944	0.11029515996683	1.10851306239594	0.362654676390157	0.998205781765622	1288	995	10503	59940000	85
20240520 230924	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	564	TRUE	445679	0.0275409634785033	2.50026041507847	9.81769564482081	0.00577713421416357	0.446756059468225	1771	37	13066	61005000	86
20240520 231216	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	538	TRUE	445679	0.0450225206938129	3.44579648609077	0.00796740783665869	0.000426238939374684	0.552334807741584	6745	29	13351	58110000	87
20240520 231315	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	120	TRUE	445679	0.143694671439199	2.46616726274109	1.94430781699314	0.00402490568869654	0.482174488266966	2276	823	10848	59505000	88
20240520 231857	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	639	TRUE	445679	0.0102786593442494	1.12784010331971	9.99663537733371	0.249088360674896	0.306599688168916	24	154	12935	60315000	89
20240520 231936	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	120	TRUE	445679	0.204799303751954	0.643820155652446	9.67810975262744	0.137754646039675	0.998109127637876	2340	1019	12588	60285000	90
20240520 232010	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	81	TRUE	445679	0.266731878007082	0.677280358568719	9.97517178873535	0.144162089759331	0.905167153533186	3673	930	12251	59370000	91
20240520 232111	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	242	TRUE	445679	0.136086368884173	4.14112634992306	2.16320498082219	0.000381516303617781	0.998598764235786	3331	1002	11606	60345000	92
20240520 232143	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	100	TRUE	445679	0.232883670631968	3.07271597997407	9.9900697152373	0.0293798643264067	0.944111807218338	3094	204	14976	58155000	93
20240520 232323	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	319	TRUE	445679	0.0474776932043515	7.75209815928625	8.94398543198354	0.0120878956337989	0.202053121179529	3031	16	12652	58170000	94
20240520 233738	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1706	TRUE	445679	0.0105942855248417	2.26354466668252	9.9946820358762	0.00777759514209708	0.522953113627266	81	964	13219	60915000	95
20240520 234658	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1362	TRUE	445679	0.0102408234532989	0.121603021110264	8.9353061702297	9.36488418644581e-05	0.397083827615494	1130	947	14987	59565000	96
20240520 234853	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	412	TRUE	445679	0.0645480491971213	1.89315695812366	9.99086150710473	0.000367065542428806	0.651684827991615	3917	1024	13834	59070000	97
20240520 235004	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	195	TRUE	445679	0.0999866083213966	1.40196872930497	3.09160477987335	0.00421742485732134	0.952759926748634	3176	904	11161	61200000	98
20240520 235027	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	48	TRUE	445679	0.24139712515576	0.11228617048694	9.99751974568964	0.341991651235052	0.75342224102668	7940	28	12811	59010000	99
20240520 235732	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1222	TRUE	445679	0.010081154717885	0.688068923225547	8.19083384101918	0.000157408364830983	0.200617112180267	3022	1013	13243	58560000	100
20240521 000355	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	969	TRUE	445679	0.010748131519164	0.952150967011117	9.98065677851047	0.861888320477917	0.473627544344636	159	24	13508	59565000	101
20240521 000852	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	964	TRUE	445679	0.0125761082274779	2.69685057395836	9.99804721925844	0.178581622961841	0.673503055498651	18	26	11374	60450000	102
20240521 002012	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1353	TRUE	445679	0.0100091061279307	6.13929141668596	8.74638514880454	0.0275410710973963	0.490010500916571	356	346	12805	59505000	103
20240521 002133	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	209	TRUE	445679	0.102779105813208	0.834247118877944	7.9251557019039	0.190135260123183	0.417373461831599	2562	17	12120	59280000	104
20240521 002329	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	189	TRUE	445679	0.0352284662154708	0.00337966319615589	9.15641753340883	0.351516968406591	0.403855387021771	473	122	13985	60045000	105
20240521 002415	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	159	TRUE	445679	0.174609921934896	1.78165860459202	9.90644041195742	0.000352798549464388	0.661860278509697	3614	211	13086	59025000	106
20240521 002441	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	81	TRUE	445679	0.299205631476093	2.99726532358181	6.25279551115089	0.0320504222131025	0.994514370750314	2690	19	12577	58995000	107
20240521 003035	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1360	TRUE	445679	0.0101590640893482	8.43724284957598	9.79646914768733	0.0583181942683962	0.625091496725978	241	1021	9060	59220000	108
20240521 003121	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	98	TRUE	445679	0.191550098401822	0.0542963496161946	9.64936509323549	0.530256647349236	0.200334570018508	489	983	10025	58485000	109
20240521 003152	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	66	TRUE	445679	0.164806962613119	3.64435295680887	7.7832326026886	0.995999016195311	0.245968604806197	61	18	10718	57495000	110
20240521 003228	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	93	TRUE	445679	0.228055163810145	0.0643757792878586	9.82287259885302	0.248992588987775	0.911823862675931	1848	243	12326	59505000	111
20240521 004110	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	1159	TRUE	445679	0.010516687588154	0.0777125547131887	5.59289494911636	0.0502381734415834	0.40043394492505	1684	62	13051	59970000	112
20240521 004144	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	107	TRUE	445679	0.223654429755632	9.97096523033967	3.56362987404678	0.0665154078919892	0.70148576279996	6713	16	12310	57990000	113
20240521 004223	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	122	TRUE	445679	0.298577500732975	0.271053052473738	2.88365333122849	0.014306618586465	0.999450164292039	6136	904	14054	58410000	114
20240521 004436	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	683	TRUE	445679	0.0155206448901794	7.64528266041664	9.98039162678618	0.447859685496551	0.946892253479228	1188	17	10984	58380000	115
20240521 004504	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	48	TRUE	445679	0.195487648814568	1.1674630647223	6.43735835719774	0.171718864082319	0.93970610694351	415	1001	11314	59550000	116
20240521 004519	binary	custom	TRUE	TRUE	FALSE	-100	-1	31	35	TRUE	445679	0.299964484961059	9.57485982891802	9.47848365156411	0.8781344929211	0.99951944618196	7067	605	13384	56340000	117
